19,39, Serangoon MRT Station,  Kovan MRT Station, Kembangan MRT Station
26,50, Yio Chu Kang MRT Station,  Kovan MRT Station,  Eunos MRT Station, Kembangan MRT Station
26,46, Somerset MRT Station,  Serangoon MRT Station,  Kovan MRT Station, Kembangan MRT Station
26,47, Dakota MRT Station,  Serangoon MRT Station,  Kovan MRT Station, Kembangan MRT Station
26,49, Marymount MRT Station,  Kovan MRT Station,  Eunos MRT Station, Kembangan MRT Station
26,39, Yio Chu Kang MRT Station,  Marymount MRT Station,  Toa Payoh MRT Station, Kembangan MRT Station
26,36, Toa Payoh MRT Station,  Serangoon MRT Station,  Eunos MRT Station, Kembangan MRT Station
26,38, Marymount MRT Station,  Toa Payoh MRT Station,  Eunos MRT Station, Kembangan MRT Station
26,45, Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Eunos MRT Station, Kembangan MRT Station
26,42, Ang Mo Kio MRT Station,  Serangoon MRT Station,  Eunos MRT Station, Kembangan MRT Station
26,44, Ang Mo Kio MRT Station,  Marymount MRT Station,  Eunos MRT Station, Kembangan MRT Station
26,39, Marymount MRT Station,  Dakota MRT Station,  Eunos MRT Station, Kembangan MRT Station
26,45, Toa Payoh MRT Station, Bishan MRT Station,  Ang Mo Kio MRT Station,  Kovan MRT Station
26,40, Toa Payoh MRT Station, Bishan MRT Station,  Kovan MRT Station,  Eunos MRT Station
26,40, Toa Payoh MRT Station, Bishan MRT Station,  Marymount MRT Station,  Kovan MRT Station
26,42, Yio Chu Kang MRT Station, Bishan MRT Station,  Kovan MRT Station,  Eunos MRT Station
26,35, Ang Mo Kio MRT Station, Bishan MRT Station,  Toa Payoh MRT Station,  Dakota MRT Station
26,37, Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station, Bishan MRT Station,  Dakota MRT Station
26,36, Ang Mo Kio MRT Station, Bishan MRT Station,  Dakota MRT Station,  Eunos MRT Station
26,36, Ang Mo Kio MRT Station, Bishan MRT Station,  Marymount MRT Station,  Dakota MRT Station
26,39, Marymount MRT Station,  Toa Payoh MRT Station,  Serangoon MRT Station, Kovan MRT Station
26,41, Yio Chu Kang MRT Station,  Serangoon MRT Station, Kovan MRT Station,  Eunos MRT Station
26,41, Yio Chu Kang MRT Station,  Marymount MRT Station,  Serangoon MRT Station, Kovan MRT Station
26,39, Somerset MRT Station,  Serangoon MRT Station, Kovan MRT Station,  Eunos MRT Station
26,35, Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station, Toa Payoh MRT Station
26,37, Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station, Toa Payoh MRT Station,  Eunos MRT Station
26,36, Ang Mo Kio MRT Station,  Marymount MRT Station, Toa Payoh MRT Station,  Eunos MRT Station
26,36, Yio Chu Kang MRT Station, Ang Mo Kio MRT Station,  Serangoon MRT Station,  Dakota MRT Station
26,38, Yio Chu Kang MRT Station, Ang Mo Kio MRT Station,  Dakota MRT Station,  Eunos MRT Station
26,38, Yio Chu Kang MRT Station, Ang Mo Kio MRT Station,  Marymount MRT Station,  Dakota MRT Station
26,35,Ang Mo Kio MRT Station,  Serangoon MRT Station,  Dakota MRT Station,  Eunos MRT Station
