" 'Yew Tee MRT Station'", " 'Clementi MRT Station'", " 'Marymount MRT Station'", "'Kembangan MRT Station'",44
" 'Clementi MRT Station'", " 'Chinese Garden MRT Station'", " 'Ang Mo Kio MRT Station'", "'Kembangan MRT Station'",51
" 'Clementi MRT Station'", " 'Chinese Garden MRT Station'", " 'Yio Chu Kang MRT Station'", "'Kembangan MRT Station'",46
" 'Clementi MRT Station'", " 'Ang Mo Kio MRT Station'", " 'Yio Chu Kang MRT Station'", "'Kembangan MRT Station'",41
" 'Clementi MRT Station'", " 'Ang Mo Kio MRT Station'", " 'Serangoon MRT Station'", "'Kembangan MRT Station'",40
" 'Clementi MRT Station'", " 'Beauty World MRT Station'", " 'Ang Mo Kio MRT Station'", "'Kembangan MRT Station'",46
" 'Clementi MRT Station'", " 'Ang Mo Kio MRT Station'", " 'Eunos MRT Station'", "'Kembangan MRT Station'",42
" 'Clementi MRT Station'", " 'Ang Mo Kio MRT Station'", " 'Somerset MRT Station'", "'Kembangan MRT Station'",45
" 'Clementi MRT Station'", " 'Jurong East MRT Station'", " 'Ang Mo Kio MRT Station'", "'Kembangan MRT Station'",51
" 'Clementi MRT Station'", " 'Ang Mo Kio MRT Station'", " 'Dakota MRT Station'", "'Kembangan MRT Station'",45
" 'Clementi MRT Station'", " 'Ang Mo Kio MRT Station'", " 'Marymount MRT Station'", "'Kembangan MRT Station'",40
" 'Clementi MRT Station'", " 'Yio Chu Kang MRT Station'", " 'Serangoon MRT Station'", "'Kembangan MRT Station'",43
" 'Clementi MRT Station'", " 'Beauty World MRT Station'", " 'Yio Chu Kang MRT Station'", "'Kembangan MRT Station'",41
" 'Clementi MRT Station'", " 'Yio Chu Kang MRT Station'", " 'Eunos MRT Station'", "'Kembangan MRT Station'",44
" 'Clementi MRT Station'", " 'Somerset MRT Station'", " 'Yio Chu Kang MRT Station'", "'Kembangan MRT Station'",42
" 'Clementi MRT Station'", " 'Jurong East MRT Station'", " 'Yio Chu Kang MRT Station'", "'Kembangan MRT Station'",45
" 'Clementi MRT Station'", " 'Yio Chu Kang MRT Station'", " 'Dakota MRT Station'", "'Kembangan MRT Station'",47
" 'Clementi MRT Station'", " 'Marymount MRT Station'", " 'Yio Chu Kang MRT Station'", "'Kembangan MRT Station'",37
" 'Clementi MRT Station'", " 'Serangoon MRT Station'", " 'Eunos MRT Station'", "'Kembangan MRT Station'",36
" 'Clementi MRT Station'", " 'Serangoon MRT Station'", " 'Dakota MRT Station'", "'Kembangan MRT Station'",39
" 'Clementi MRT Station'", " 'Marymount MRT Station'", " 'Serangoon MRT Station'", "'Kembangan MRT Station'",35
" 'Clementi MRT Station'", " 'Beauty World MRT Station'", " 'Eunos MRT Station'", "'Kembangan MRT Station'",32
" 'Clementi MRT Station'", " 'Beauty World MRT Station'", " 'Somerset MRT Station'", "'Kembangan MRT Station'",34
" 'Clementi MRT Station'", " 'Beauty World MRT Station'", " 'Dakota MRT Station'", "'Kembangan MRT Station'",35
" 'Clementi MRT Station'", " 'Beauty World MRT Station'", " 'Marymount MRT Station'", "'Kembangan MRT Station'",33
" 'Clementi MRT Station'", " 'Somerset MRT Station'", " 'Eunos MRT Station'", "'Kembangan MRT Station'",34
" 'Clementi MRT Station'", " 'Dakota MRT Station'", " 'Eunos MRT Station'", "'Kembangan MRT Station'",33
" 'Clementi MRT Station'", " 'Marymount MRT Station'", " 'Eunos MRT Station'", "'Kembangan MRT Station'",35
" 'Clementi MRT Station'", " 'Somerset MRT Station'", " 'Dakota MRT Station'", "'Kembangan MRT Station'",34
" 'Clementi MRT Station'", " 'Somerset MRT Station'", " 'Marymount MRT Station'", "'Kembangan MRT Station'",39
" 'Clementi MRT Station'", " 'Marymount MRT Station'", " 'Dakota MRT Station'", "'Kembangan MRT Station'",38
" 'Woodlands MRT Station'", " 'Bishan MRT Station'", " 'Kovan MRT Station'", "'Kembangan MRT Station'",37
" 'Woodlands MRT Station'", " 'Bukit Panjang MRT Station'", " 'Bishan MRT Station'", "'Kembangan MRT Station'",49
" 'Choa Chu Kang MRT Station'", " 'Woodlands MRT Station'", " 'Bishan MRT Station'", "'Kembangan MRT Station'",49
" 'Pioneer MRT Station'", " 'Woodlands MRT Station'", " 'Bishan MRT Station'", "'Kembangan MRT Station'",56
" 'Woodlands MRT Station'", " 'Bishan MRT Station'", " 'Toa Payoh MRT Station'", "'Kembangan MRT Station'",36
" 'Yew Tee MRT Station'", " 'Woodlands MRT Station'", " 'Bishan MRT Station'", "'Kembangan MRT Station'",51
" 'Chinese Garden MRT Station'", " 'Woodlands MRT Station'", " 'Bishan MRT Station'", "'Kembangan MRT Station'",56
" 'Woodlands MRT Station'", " 'Ang Mo Kio MRT Station'", " 'Bishan MRT Station'", "'Kembangan MRT Station'",39
" 'Woodlands MRT Station'", " 'Yio Chu Kang MRT Station'", " 'Bishan MRT Station'", "'Kembangan MRT Station'",39
" 'Woodlands MRT Station'", " 'Bishan MRT Station'", " 'Serangoon MRT Station'", "'Kembangan MRT Station'",37
" 'Woodlands MRT Station'", " 'Beauty World MRT Station'", " 'Bishan MRT Station'", "'Kembangan MRT Station'",47
" 'Woodlands MRT Station'", " 'Bishan MRT Station'", " 'Eunos MRT Station'", "'Kembangan MRT Station'",38
" 'Woodlands MRT Station'", " 'Bishan MRT Station'", " 'Somerset MRT Station'", "'Kembangan MRT Station'",42
" 'Jurong East MRT Station'", " 'Woodlands MRT Station'", " 'Bishan MRT Station'", "'Kembangan MRT Station'",56
" 'Woodlands MRT Station'", " 'Bishan MRT Station'", " 'Dakota MRT Station'", "'Kembangan MRT Station'",41
" 'Woodlands MRT Station'", " 'Bishan MRT Station'", " 'Marymount MRT Station'", "'Kembangan MRT Station'",36
" 'Bukit Panjang MRT Station'", " 'Bishan MRT Station'", " 'Kovan MRT Station'", "'Kembangan MRT Station'",37
" 'Choa Chu Kang MRT Station'", " 'Bishan MRT Station'", " 'Kovan MRT Station'", "'Kembangan MRT Station'",41
" 'Pioneer MRT Station'", " 'Bishan MRT Station'", " 'Kovan MRT Station'", "'Kembangan MRT Station'",44
" 'Toa Payoh MRT Station'", " 'Bishan MRT Station'", " 'Kovan MRT Station'", "'Kembangan MRT Station'",26
" 'Yew Tee MRT Station'", " 'Bishan MRT Station'", " 'Kovan MRT Station'", "'Kembangan MRT Station'",41
" 'Chinese Garden MRT Station'", " 'Bishan MRT Station'", " 'Kovan MRT Station'", "'Kembangan MRT Station'",39
" 'Yio Chu Kang MRT Station'", " 'Bishan MRT Station'", " 'Kovan MRT Station'", "'Kembangan MRT Station'",26
" 'Bishan MRT Station'", " 'Serangoon MRT Station'", " 'Kovan MRT Station'", "'Kembangan MRT Station'",24
" 'Beauty World MRT Station'", " 'Bishan MRT Station'", " 'Kovan MRT Station'", "'Kembangan MRT Station'",32
" 'Bishan MRT Station'", " 'Kovan MRT Station'", " 'Eunos MRT Station'", "'Kembangan MRT Station'",25
" 'Somerset MRT Station'", " 'Bishan MRT Station'", " 'Kovan MRT Station'", "'Kembangan MRT Station'",30
" 'Jurong East MRT Station'", " 'Bishan MRT Station'", " 'Kovan MRT Station'", "'Kembangan MRT Station'",40
" 'Bishan MRT Station'", " 'Kovan MRT Station'", " 'Dakota MRT Station'", "'Kembangan MRT Station'",30
" 'Marymount MRT Station'", " 'Bishan MRT Station'", " 'Kovan MRT Station'", "'Kembangan MRT Station'",24
" 'Choa Chu Kang MRT Station'", " 'Bukit Panjang MRT Station'", " 'Bishan MRT Station'", "'Kembangan MRT Station'",44
" 'Pioneer MRT Station'", " 'Bukit Panjang MRT Station'", " 'Bishan MRT Station'", "'Kembangan MRT Station'",51
" 'Bukit Panjang MRT Station'", " 'Bishan MRT Station'", " 'Toa Payoh MRT Station'", "'Kembangan MRT Station'",36
" 'Yew Tee MRT Station'", " 'Bukit Panjang MRT Station'", " 'Bishan MRT Station'", "'Kembangan MRT Station'",45
" 'Chinese Garden MRT Station'", " 'Bukit Panjang MRT Station'", " 'Bishan MRT Station'", "'Kembangan MRT Station'",47
" 'Bukit Panjang MRT Station'", " 'Ang Mo Kio MRT Station'", " 'Bishan MRT Station'", "'Kembangan MRT Station'",44
" 'Bukit Panjang MRT Station'", " 'Bishan MRT Station'", " 'Yio Chu Kang MRT Station'", "'Kembangan MRT Station'",40
" 'Bukit Panjang MRT Station'", " 'Bishan MRT Station'", " 'Serangoon MRT Station'", "'Kembangan MRT Station'",37
" 'Bukit Panjang MRT Station'", " 'Beauty World MRT Station'", " 'Bishan MRT Station'", "'Kembangan MRT Station'",42
" 'Bukit Panjang MRT Station'", " 'Bishan MRT Station'", " 'Eunos MRT Station'", "'Kembangan MRT Station'",38
" 'Bukit Panjang MRT Station'", " 'Bishan MRT Station'", " 'Somerset MRT Station'", "'Kembangan MRT Station'",42
" 'Jurong East MRT Station'", " 'Bukit Panjang MRT Station'", " 'Bishan MRT Station'", "'Kembangan MRT Station'",48
" 'Bukit Panjang MRT Station'", " 'Bishan MRT Station'", " 'Dakota MRT Station'", "'Kembangan MRT Station'",41
" 'Bukit Panjang MRT Station'", " 'Bishan MRT Station'", " 'Marymount MRT Station'", "'Kembangan MRT Station'",36
" 'Pioneer MRT Station'", " 'Choa Chu Kang MRT Station'", " 'Bishan MRT Station'", "'Kembangan MRT Station'",53
