'Clementi MRT Station', 'Woodlands MRT Station', 'Bukit Panjang MRT Station', 'Chinese Garden MRT Station', 'Somerset MRT Station'
'Clementi MRT Station', 'Woodlands MRT Station', 'Bukit Panjang MRT Station', 'Pioneer MRT Station', 'Beauty World MRT Station'
'Clementi MRT Station', 'Woodlands MRT Station', 'Bukit Panjang MRT Station', 'Pioneer MRT Station', 'Serangoon MRT Station'
'Clementi MRT Station', 'Woodlands MRT Station', 'Bukit Panjang MRT Station', 'Pioneer MRT Station', 'Somerset MRT Station'
'Clementi MRT Station', 'Woodlands MRT Station', 'Bukit Panjang MRT Station', 'Pioneer MRT Station', 'Jurong East MRT Station'
'Clementi MRT Station', 'Woodlands MRT Station', 'Bukit Panjang MRT Station', 'Beauty World MRT Station', 'Serangoon MRT Station'
'Clementi MRT Station', 'Woodlands MRT Station', 'Bukit Panjang MRT Station', 'Beauty World MRT Station', 'Somerset MRT Station'
'Clementi MRT Station', 'Woodlands MRT Station', 'Bukit Panjang MRT Station', 'Beauty World MRT Station', 'Jurong East MRT Station'
'Clementi MRT Station', 'Woodlands MRT Station', 'Bukit Panjang MRT Station', 'Serangoon MRT Station', 'Somerset MRT Station'
'Clementi MRT Station', 'Woodlands MRT Station', 'Bukit Panjang MRT Station', 'Serangoon MRT Station', 'Jurong East MRT Station'
'Clementi MRT Station', 'Woodlands MRT Station', 'Bukit Panjang MRT Station', 'Somerset MRT Station', 'Jurong East MRT Station'
'Clementi MRT Station', 'Woodlands MRT Station', 'Choa Chu Kang MRT Station', 'Yew Tee MRT Station', 'Beauty World MRT Station'
'Clementi MRT Station', 'Woodlands MRT Station', 'Choa Chu Kang MRT Station', 'Yew Tee MRT Station', 'Somerset MRT Station'
'Clementi MRT Station', 'Woodlands MRT Station', 'Choa Chu Kang MRT Station', 'Beauty World MRT Station', 'Somerset MRT Station'
'Clementi MRT Station', 'Woodlands MRT Station', 'Yew Tee MRT Station', 'Beauty World MRT Station', 'Somerset MRT Station'
'Clementi MRT Station', 'Bukit Panjang MRT Station', 'Choa Chu Kang MRT Station', 'Yew Tee MRT Station', 'Chinese Garden MRT Station'
'Clementi MRT Station', 'Bukit Panjang MRT Station', 'Choa Chu Kang MRT Station', 'Yew Tee MRT Station', 'Pioneer MRT Station'
'Clementi MRT Station', 'Bukit Panjang MRT Station', 'Choa Chu Kang MRT Station', 'Yew Tee MRT Station', 'Beauty World MRT Station'
'Clementi MRT Station', 'Bukit Panjang MRT Station', 'Choa Chu Kang MRT Station', 'Yew Tee MRT Station', 'Serangoon MRT Station'
'Clementi MRT Station', 'Bukit Panjang MRT Station', 'Choa Chu Kang MRT Station', 'Yew Tee MRT Station', 'Somerset MRT Station'
'Clementi MRT Station', 'Bukit Panjang MRT Station', 'Choa Chu Kang MRT Station', 'Yew Tee MRT Station', 'Jurong East MRT Station'
'Clementi MRT Station', 'Bukit Panjang MRT Station', 'Choa Chu Kang MRT Station', 'Chinese Garden MRT Station', 'Beauty World MRT Station'
'Clementi MRT Station', 'Bukit Panjang MRT Station', 'Choa Chu Kang MRT Station', 'Chinese Garden MRT Station', 'Somerset MRT Station'
'Clementi MRT Station', 'Bukit Panjang MRT Station', 'Choa Chu Kang MRT Station', 'Pioneer MRT Station', 'Beauty World MRT Station'
'Clementi MRT Station', 'Bukit Panjang MRT Station', 'Choa Chu Kang MRT Station', 'Pioneer MRT Station', 'Serangoon MRT Station'
'Clementi MRT Station', 'Bukit Panjang MRT Station', 'Choa Chu Kang MRT Station', 'Pioneer MRT Station', 'Somerset MRT Station'
'Clementi MRT Station', 'Bukit Panjang MRT Station', 'Choa Chu Kang MRT Station', 'Beauty World MRT Station', 'Serangoon MRT Station'
'Clementi MRT Station', 'Bukit Panjang MRT Station', 'Choa Chu Kang MRT Station', 'Beauty World MRT Station', 'Somerset MRT Station'
'Clementi MRT Station', 'Bukit Panjang MRT Station', 'Choa Chu Kang MRT Station', 'Beauty World MRT Station', 'Jurong East MRT Station'
'Clementi MRT Station', 'Bukit Panjang MRT Station', 'Choa Chu Kang MRT Station', 'Serangoon MRT Station', 'Somerset MRT Station'
