"'Woodlands MRT Station'", " 'Choa Chu Kang MRT Station'", " 'Bukit Panjang MRT Station'", " 'Somerset MRT Station'", " 'Serangoon MRT Station'",48
" 'Jurong East MRT Station'", " 'Bukit Panjang MRT Station'", " 'Choa Chu Kang MRT Station'", "'Woodlands MRT Station'", " 'Serangoon MRT Station'",50
"'Woodlands MRT Station'", " 'Choa Chu Kang MRT Station'", " 'Bukit Panjang MRT Station'", " 'Jurong East MRT Station'", " 'Somerset MRT Station'",52
" 'Pioneer MRT Station'", " 'Chinese Garden MRT Station'", " 'Bukit Panjang MRT Station'", " 'Yew Tee MRT Station'", "'Woodlands MRT Station'",52
"'Woodlands MRT Station'", " 'Yew Tee MRT Station'", " 'Bukit Panjang MRT Station'", " 'Chinese Garden MRT Station'", " 'Beauty World MRT Station'",50
" 'Chinese Garden MRT Station'", " 'Bukit Panjang MRT Station'", " 'Yew Tee MRT Station'", "'Woodlands MRT Station'", " 'Serangoon MRT Station'",52
"'Woodlands MRT Station'", " 'Yew Tee MRT Station'", " 'Bukit Panjang MRT Station'", " 'Chinese Garden MRT Station'", " 'Somerset MRT Station'",54
" 'Jurong East MRT Station'", " 'Chinese Garden MRT Station'", " 'Bukit Panjang MRT Station'", " 'Yew Tee MRT Station'", "'Woodlands MRT Station'",47
"'Woodlands MRT Station'", " 'Bukit Panjang MRT Station'", " 'Yew Tee MRT Station'", " 'Pioneer MRT Station'", " 'Beauty World MRT Station'",56
" 'Pioneer MRT Station'", " 'Yew Tee MRT Station'", " 'Bukit Panjang MRT Station'", "'Woodlands MRT Station'", " 'Serangoon MRT Station'",53
"'Woodlands MRT Station'", " 'Bukit Panjang MRT Station'", " 'Yew Tee MRT Station'", " 'Pioneer MRT Station'", " 'Somerset MRT Station'",59
" 'Pioneer MRT Station'", " 'Jurong East MRT Station'", " 'Bukit Panjang MRT Station'", " 'Yew Tee MRT Station'", "'Woodlands MRT Station'",54
"'Woodlands MRT Station'", " 'Yew Tee MRT Station'", " 'Bukit Panjang MRT Station'", " 'Beauty World MRT Station'", " 'Serangoon MRT Station'",49
"'Woodlands MRT Station'", " 'Yew Tee MRT Station'", " 'Bukit Panjang MRT Station'", " 'Beauty World MRT Station'", " 'Somerset MRT Station'",50
"'Woodlands MRT Station'", " 'Yew Tee MRT Station'", " 'Bukit Panjang MRT Station'", " 'Jurong East MRT Station'", " 'Beauty World MRT Station'",52
"'Woodlands MRT Station'", " 'Bukit Panjang MRT Station'", " 'Yew Tee MRT Station'", " 'Somerset MRT Station'", " 'Serangoon MRT Station'",51
" 'Jurong East MRT Station'", " 'Bukit Panjang MRT Station'", " 'Yew Tee MRT Station'", "'Woodlands MRT Station'", " 'Serangoon MRT Station'",53
"'Woodlands MRT Station'", " 'Yew Tee MRT Station'", " 'Bukit Panjang MRT Station'", " 'Jurong East MRT Station'", " 'Somerset MRT Station'",55
" 'Pioneer MRT Station'", " 'Chinese Garden MRT Station'", " 'Beauty World MRT Station'", " 'Bukit Panjang MRT Station'", "'Woodlands MRT Station'",51
" 'Pioneer MRT Station'", " 'Chinese Garden MRT Station'", " 'Bukit Panjang MRT Station'", "'Woodlands MRT Station'", " 'Serangoon MRT Station'",52
"'Woodlands MRT Station'", " 'Bukit Panjang MRT Station'", " 'Chinese Garden MRT Station'", " 'Pioneer MRT Station'", " 'Somerset MRT Station'",58
"'Woodlands MRT Station'", " 'Bukit Panjang MRT Station'", " 'Chinese Garden MRT Station'", " 'Beauty World MRT Station'", " 'Serangoon MRT Station'",48
"'Woodlands MRT Station'", " 'Bukit Panjang MRT Station'", " 'Chinese Garden MRT Station'", " 'Beauty World MRT Station'", " 'Somerset MRT Station'",49
"'Woodlands MRT Station'", " 'Bukit Panjang MRT Station'", " 'Chinese Garden MRT Station'", " 'Jurong East MRT Station'", " 'Beauty World MRT Station'",46
"'Woodlands MRT Station'", " 'Bukit Panjang MRT Station'", " 'Chinese Garden MRT Station'", " 'Somerset MRT Station'", " 'Serangoon MRT Station'",51
"'Woodlands MRT Station'", " 'Bukit Panjang MRT Station'", " 'Chinese Garden MRT Station'", " 'Jurong East MRT Station'", " 'Somerset MRT Station'",49
" 'Pioneer MRT Station'", " 'Beauty World MRT Station'", " 'Bukit Panjang MRT Station'", "'Woodlands MRT Station'", " 'Serangoon MRT Station'",56
"'Woodlands MRT Station'", " 'Bukit Panjang MRT Station'", " 'Pioneer MRT Station'", " 'Beauty World MRT Station'", " 'Somerset MRT Station'",58
" 'Pioneer MRT Station'", " 'Jurong East MRT Station'", " 'Beauty World MRT Station'", " 'Bukit Panjang MRT Station'", "'Woodlands MRT Station'",53
"'Woodlands MRT Station'", " 'Bukit Panjang MRT Station'", " 'Pioneer MRT Station'", " 'Somerset MRT Station'", " 'Serangoon MRT Station'",59
" 'Pioneer MRT Station'", " 'Jurong East MRT Station'", " 'Bukit Panjang MRT Station'", "'Woodlands MRT Station'", " 'Serangoon MRT Station'",54
"'Woodlands MRT Station'", " 'Bukit Panjang MRT Station'", " 'Pioneer MRT Station'", " 'Jurong East MRT Station'", " 'Somerset MRT Station'",59
"'Woodlands MRT Station'", " 'Bukit Panjang MRT Station'", " 'Beauty World MRT Station'", " 'Somerset MRT Station'", " 'Serangoon MRT Station'",47
"'Woodlands MRT Station'", " 'Bukit Panjang MRT Station'", " 'Jurong East MRT Station'", " 'Beauty World MRT Station'", " 'Serangoon MRT Station'",50
"'Woodlands MRT Station'", " 'Bukit Panjang MRT Station'", " 'Jurong East MRT Station'", " 'Beauty World MRT Station'", " 'Somerset MRT Station'",51
"'Woodlands MRT Station'", " 'Bukit Panjang MRT Station'", " 'Jurong East MRT Station'", " 'Somerset MRT Station'", " 'Serangoon MRT Station'",52
"'Woodlands MRT Station'", " 'Choa Chu Kang MRT Station'", " 'Yew Tee MRT Station'", " 'Pioneer MRT Station'", " 'Beauty World MRT Station'",53
"'Woodlands MRT Station'", " 'Choa Chu Kang MRT Station'", " 'Yew Tee MRT Station'", " 'Pioneer MRT Station'", " 'Somerset MRT Station'",56
"'Woodlands MRT Station'", " 'Choa Chu Kang MRT Station'", " 'Yew Tee MRT Station'", " 'Beauty World MRT Station'", " 'Serangoon MRT Station'",47
"'Woodlands MRT Station'", " 'Choa Chu Kang MRT Station'", " 'Yew Tee MRT Station'", " 'Beauty World MRT Station'", " 'Somerset MRT Station'",48
"'Woodlands MRT Station'", " 'Choa Chu Kang MRT Station'", " 'Yew Tee MRT Station'", " 'Somerset MRT Station'", " 'Serangoon MRT Station'",48
"'Woodlands MRT Station'", " 'Choa Chu Kang MRT Station'", " 'Pioneer MRT Station'", " 'Beauty World MRT Station'", " 'Somerset MRT Station'",56
"'Woodlands MRT Station'", " 'Choa Chu Kang MRT Station'", " 'Beauty World MRT Station'", " 'Somerset MRT Station'", " 'Serangoon MRT Station'",50
"'Woodlands MRT Station'", " 'Yew Tee MRT Station'", " 'Pioneer MRT Station'", " 'Beauty World MRT Station'", " 'Somerset MRT Station'",59
"'Woodlands MRT Station'", " 'Yew Tee MRT Station'", " 'Beauty World MRT Station'", " 'Somerset MRT Station'", " 'Serangoon MRT Station'",52
" 'Chinese Garden MRT Station'", " 'Pioneer MRT Station'", " 'Choa Chu Kang MRT Station'", " 'Yew Tee MRT Station'", "'Bukit Panjang MRT Station'",47
" 'Yew Tee MRT Station'", " 'Choa Chu Kang MRT Station'", "'Bukit Panjang MRT Station'", " 'Chinese Garden MRT Station'", " 'Beauty World MRT Station'",40
" 'Yew Tee MRT Station'", " 'Choa Chu Kang MRT Station'", "'Bukit Panjang MRT Station'", " 'Chinese Garden MRT Station'", " 'Serangoon MRT Station'",43
" 'Yew Tee MRT Station'", " 'Choa Chu Kang MRT Station'", "'Bukit Panjang MRT Station'", " 'Chinese Garden MRT Station'", " 'Somerset MRT Station'",44
" 'Pioneer MRT Station'", " 'Choa Chu Kang MRT Station'", " 'Yew Tee MRT Station'", "'Bukit Panjang MRT Station'", " 'Beauty World MRT Station'",44
" 'Pioneer MRT Station'", " 'Choa Chu Kang MRT Station'", " 'Yew Tee MRT Station'", "'Bukit Panjang MRT Station'", " 'Serangoon MRT Station'",45
" 'Pioneer MRT Station'", " 'Choa Chu Kang MRT Station'", " 'Yew Tee MRT Station'", "'Bukit Panjang MRT Station'", " 'Somerset MRT Station'",47
" 'Jurong East MRT Station'", " 'Pioneer MRT Station'", " 'Choa Chu Kang MRT Station'", " 'Yew Tee MRT Station'", "'Bukit Panjang MRT Station'",48
" 'Yew Tee MRT Station'", " 'Choa Chu Kang MRT Station'", "'Bukit Panjang MRT Station'", " 'Beauty World MRT Station'", " 'Serangoon MRT Station'",39
" 'Yew Tee MRT Station'", " 'Choa Chu Kang MRT Station'", "'Bukit Panjang MRT Station'", " 'Beauty World MRT Station'", " 'Somerset MRT Station'",40
" 'Yew Tee MRT Station'", " 'Choa Chu Kang MRT Station'", "'Bukit Panjang MRT Station'", " 'Jurong East MRT Station'", " 'Beauty World MRT Station'",42
" 'Yew Tee MRT Station'", " 'Choa Chu Kang MRT Station'", "'Bukit Panjang MRT Station'", " 'Somerset MRT Station'", " 'Serangoon MRT Station'",41
" 'Yew Tee MRT Station'", " 'Choa Chu Kang MRT Station'", "'Bukit Panjang MRT Station'", " 'Jurong East MRT Station'", " 'Serangoon MRT Station'",44
" 'Yew Tee MRT Station'", " 'Choa Chu Kang MRT Station'", "'Bukit Panjang MRT Station'", " 'Jurong East MRT Station'", " 'Somerset MRT Station'",45
"'Bukit Panjang MRT Station'", " 'Choa Chu Kang MRT Station'", " 'Pioneer MRT Station'", " 'Chinese Garden MRT Station'", " 'Beauty World MRT Station'",47
"'Bukit Panjang MRT Station'", " 'Choa Chu Kang MRT Station'", " 'Pioneer MRT Station'", " 'Chinese Garden MRT Station'", " 'Somerset MRT Station'",51
" 'Choa Chu Kang MRT Station'", "'Bukit Panjang MRT Station'", " 'Chinese Garden MRT Station'", " 'Beauty World MRT Station'", " 'Serangoon MRT Station'",43
" 'Choa Chu Kang MRT Station'", "'Bukit Panjang MRT Station'", " 'Chinese Garden MRT Station'", " 'Beauty World MRT Station'", " 'Somerset MRT Station'",44
" 'Choa Chu Kang MRT Station'", "'Bukit Panjang MRT Station'", " 'Chinese Garden MRT Station'", " 'Somerset MRT Station'", " 'Serangoon MRT Station'",46
" 'Pioneer MRT Station'", " 'Choa Chu Kang MRT Station'", "'Bukit Panjang MRT Station'", " 'Beauty World MRT Station'", " 'Serangoon MRT Station'",46
" 'Pioneer MRT Station'", " 'Choa Chu Kang MRT Station'", "'Bukit Panjang MRT Station'", " 'Beauty World MRT Station'", " 'Somerset MRT Station'",47
"'Bukit Panjang MRT Station'", " 'Choa Chu Kang MRT Station'", " 'Pioneer MRT Station'", " 'Jurong East MRT Station'", " 'Beauty World MRT Station'",49
" 'Pioneer MRT Station'", " 'Choa Chu Kang MRT Station'", "'Bukit Panjang MRT Station'", " 'Somerset MRT Station'", " 'Serangoon MRT Station'",48
"'Bukit Panjang MRT Station'", " 'Choa Chu Kang MRT Station'", " 'Pioneer MRT Station'", " 'Jurong East MRT Station'", " 'Somerset MRT Station'",52
" 'Choa Chu Kang MRT Station'", "'Bukit Panjang MRT Station'", " 'Beauty World MRT Station'", " 'Somerset MRT Station'", " 'Serangoon MRT Station'",42
" 'Choa Chu Kang MRT Station'", "'Bukit Panjang MRT Station'", " 'Jurong East MRT Station'", " 'Beauty World MRT Station'", " 'Serangoon MRT Station'",45
" 'Choa Chu Kang MRT Station'", "'Bukit Panjang MRT Station'", " 'Jurong East MRT Station'", " 'Beauty World MRT Station'", " 'Somerset MRT Station'",46
" 'Choa Chu Kang MRT Station'", "'Bukit Panjang MRT Station'", " 'Jurong East MRT Station'", " 'Somerset MRT Station'", " 'Serangoon MRT Station'",47
"'Bukit Panjang MRT Station'", " 'Yew Tee MRT Station'", " 'Pioneer MRT Station'", " 'Chinese Garden MRT Station'", " 'Beauty World MRT Station'",49
" 'Pioneer MRT Station'", " 'Chinese Garden MRT Station'", "'Bukit Panjang MRT Station'", " 'Yew Tee MRT Station'", " 'Somerset MRT Station'",52
" 'Yew Tee MRT Station'", "'Bukit Panjang MRT Station'", " 'Chinese Garden MRT Station'", " 'Beauty World MRT Station'", " 'Serangoon MRT Station'",44
" 'Yew Tee MRT Station'", "'Bukit Panjang MRT Station'", " 'Chinese Garden MRT Station'", " 'Beauty World MRT Station'", " 'Somerset MRT Station'",45
" 'Yew Tee MRT Station'", "'Bukit Panjang MRT Station'", " 'Chinese Garden MRT Station'", " 'Somerset MRT Station'", " 'Serangoon MRT Station'",47
" 'Pioneer MRT Station'", " 'Yew Tee MRT Station'", "'Bukit Panjang MRT Station'", " 'Beauty World MRT Station'", " 'Serangoon MRT Station'",48
" 'Pioneer MRT Station'", " 'Yew Tee MRT Station'", "'Bukit Panjang MRT Station'", " 'Beauty World MRT Station'", " 'Somerset MRT Station'",49
"'Bukit Panjang MRT Station'", " 'Yew Tee MRT Station'", " 'Pioneer MRT Station'", " 'Jurong East MRT Station'", " 'Beauty World MRT Station'",51
" 'Pioneer MRT Station'", " 'Yew Tee MRT Station'", "'Bukit Panjang MRT Station'", " 'Somerset MRT Station'", " 'Serangoon MRT Station'",50
"'Bukit Panjang MRT Station'", " 'Yew Tee MRT Station'", " 'Pioneer MRT Station'", " 'Jurong East MRT Station'", " 'Somerset MRT Station'",54
" 'Yew Tee MRT Station'", "'Bukit Panjang MRT Station'", " 'Beauty World MRT Station'", " 'Somerset MRT Station'", " 'Serangoon MRT Station'",43
" 'Yew Tee MRT Station'", "'Bukit Panjang MRT Station'", " 'Jurong East MRT Station'", " 'Beauty World MRT Station'", " 'Serangoon MRT Station'",46
" 'Yew Tee MRT Station'", "'Bukit Panjang MRT Station'", " 'Jurong East MRT Station'", " 'Beauty World MRT Station'", " 'Somerset MRT Station'",47
" 'Yew Tee MRT Station'", "'Bukit Panjang MRT Station'", " 'Jurong East MRT Station'", " 'Somerset MRT Station'", " 'Serangoon MRT Station'",48
" 'Pioneer MRT Station'", " 'Chinese Garden MRT Station'", "'Bukit Panjang MRT Station'", " 'Beauty World MRT Station'", " 'Somerset MRT Station'",48
"'Bukit Panjang MRT Station'", " 'Chinese Garden MRT Station'", " 'Beauty World MRT Station'", " 'Somerset MRT Station'", " 'Serangoon MRT Station'",44
" 'Pioneer MRT Station'", "'Bukit Panjang MRT Station'", " 'Beauty World MRT Station'", " 'Somerset MRT Station'", " 'Serangoon MRT Station'",49
" 'Pioneer MRT Station'", " 'Jurong East MRT Station'", "'Bukit Panjang MRT Station'", " 'Beauty World MRT Station'", " 'Somerset MRT Station'",50
"'Bukit Panjang MRT Station'", " 'Jurong East MRT Station'", " 'Beauty World MRT Station'", " 'Somerset MRT Station'", " 'Serangoon MRT Station'",46
