26,46, Ang Mo Kio MRT Station, Woodlands MRT Station,  Toa Payoh MRT Station,  Kovan MRT Station
26,36,Bukit Panjang MRT Station,  Chinese Garden MRT Station,  Clementi MRT Station,  Kembangan MRT Station
26,42,Yew Tee MRT Station,  Ang Mo Kio MRT Station,  Woodlands MRT Station,  Pioneer MRT Station,  Eunos MRT Station
26,47, Ang Mo Kio MRT Station, Yew Tee MRT Station,  Bishan MRT Station,  Pioneer MRT Station,  Sengkang MRT Station
26,42,Yew Tee MRT Station,  Ang Mo Kio MRT Station,  Pioneer MRT Station,  Marymount MRT Station,  Dakota MRT Station
26,50,Yew Tee MRT Station,  Ang Mo Kio MRT Station,  Sengkang MRT Station,  Woodlands MRT Station,  Eunos MRT Station
26,44,Yew Tee MRT Station,  Ang Mo Kio MRT Station,  Woodlands MRT Station,  Marymount MRT Station,  Dakota MRT Station
26,44,Yew Tee MRT Station,  Ang Mo Kio MRT Station,  Dakota MRT Station,  Marymount MRT Station,  Eunos MRT Station
26,37, Woodlands MRT Station, Pioneer MRT Station,  Somerset MRT Station,  Marymount MRT Station,  Eunos MRT Station
26,36, Bishan MRT Station, Pioneer MRT Station,  Somerset MRT Station,  Marymount MRT Station,  Dakota MRT Station
26,41, Sengkang MRT Station,  Woodlands MRT Station, Pioneer MRT Station,  Jurong East MRT Station,  Eunos MRT Station
26,40, Jurong East MRT Station, Pioneer MRT Station,  Bishan MRT Station,  Woodlands MRT Station,  Sengkang MRT Station
26,43, Bishan MRT Station,  Woodlands MRT Station,  Sengkang MRT Station, Pioneer MRT Station,  Eunos MRT Station
26,49, Ang Mo Kio MRT Station,  Sengkang MRT Station,  Woodlands MRT Station, Pioneer MRT Station,  Eunos MRT Station
26,43, Toa Payoh MRT Station,  Woodlands MRT Station,  Sengkang MRT Station, Pioneer MRT Station,  Eunos MRT Station
26,43, Ang Mo Kio MRT Station,  Woodlands MRT Station, Pioneer MRT Station,  Marymount MRT Station,  Dakota MRT Station
26,44, Sengkang MRT Station, Pioneer MRT Station,  Dakota MRT Station,  Marymount MRT Station,  Eunos MRT Station
26,35, Bishan MRT Station,  Jurong East MRT Station, Somerset MRT Station,  Marymount MRT Station,  Dakota MRT Station
26,41, Ang Mo Kio MRT Station,  Jurong East MRT Station, Somerset MRT Station,  Marymount MRT Station,  Dakota MRT Station
26,45, Sengkang MRT Station,  Woodlands MRT Station, Somerset MRT Station,  Marymount MRT Station,  Eunos MRT Station
26,39, Woodlands MRT Station, Somerset MRT Station,  Dakota MRT Station,  Marymount MRT Station,  Eunos MRT Station
26,38, Bishan MRT Station,  Woodlands MRT Station, Somerset MRT Station,  Marymount MRT Station,  Dakota MRT Station
26,38, Toa Payoh MRT Station,  Woodlands MRT Station, Somerset MRT Station,  Marymount MRT Station,  Dakota MRT Station
26,36, Bishan MRT Station,  Woodlands MRT Station, Jurong East MRT Station,  Marymount MRT Station,  Eunos MRT Station
26,36, Toa Payoh MRT Station,  Woodlands MRT Station, Jurong East MRT Station,  Marymount MRT Station,  Eunos MRT Station
26,43, Sengkang MRT Station, Jurong East MRT Station,  Dakota MRT Station,  Marymount MRT Station,  Eunos MRT Station
26,45, Bishan MRT Station,  Sengkang MRT Station, Woodlands MRT Station,  Marymount MRT Station,  Dakota MRT Station
27,42,Sengkang MRT Station,  Punggol MRT Station,  Kembangan MRT Station
27,36,Sengkang MRT Station,  Bishan MRT Station,  Kembangan MRT Station
27,42,Sengkang MRT Station,  Ang Mo Kio MRT Station,  Kembangan MRT Station
27,35, Bishan MRT Station, Punggol MRT Station,  Kembangan MRT Station
27,36, Marymount MRT Station, Punggol MRT Station,  Kembangan MRT Station
27,35,Yew Tee MRT Station,  Sengkang MRT Station,  Pioneer MRT Station,  Eunos MRT Station
27,35,Yew Tee MRT Station,  Ang Mo Kio MRT Station,  Somerset MRT Station,  Dakota MRT Station
27,35, Woodlands MRT Station,  Bishan MRT Station, Yew Tee MRT Station,  Ang Mo Kio MRT Station
27,36,Yew Tee MRT Station,  Bishan MRT Station,  Sengkang MRT Station,  Eunos MRT Station
27,43, Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station, Yew Tee MRT Station,  Sengkang MRT Station
27,41, Toa Payoh MRT Station, Yew Tee MRT Station,  Ang Mo Kio MRT Station,  Sengkang MRT Station
27,38, Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station, Yew Tee MRT Station,  Buangkok MRT Station
27,42, Woodlands MRT Station, Pioneer MRT Station,  Punggol MRT Station,  Kembangan MRT Station
27,36, Dakota MRT Station,  Sengkang MRT Station, Pioneer MRT Station,  Eunos MRT Station
27,37, Buangkok MRT Station,  Sengkang MRT Station, Pioneer MRT Station,  Eunos MRT Station
27,35, Dakota MRT Station, Pioneer MRT Station,  Bishan MRT Station,  Sengkang MRT Station
27,41, Ang Mo Kio MRT Station,  Sengkang MRT Station, Pioneer MRT Station,  Dakota MRT Station
27,40, Bishan MRT Station, Pioneer MRT Station,  Ang Mo Kio MRT Station,  Sengkang MRT Station
27,41, Marymount MRT Station, Pioneer MRT Station,  Ang Mo Kio MRT Station,  Sengkang MRT Station
27,35, Dakota MRT Station,  Marymount MRT Station, Pioneer MRT Station,  Punggol MRT Station
27,37,Pioneer MRT Station,  Marymount MRT Station,  Dakota MRT Station,  Kembangan MRT Station
27,39,Somerset MRT Station,  Jurong East MRT Station,  Ang Mo Kio MRT Station,  Sengkang MRT Station
27,35,Somerset MRT Station,  Jurong East MRT Station,  Dakota MRT Station,  Kembangan MRT Station
27,37,Somerset MRT Station,  Woodlands MRT Station,  Sengkang MRT Station,  Eunos MRT Station
27,36,Somerset MRT Station,  Woodlands MRT Station,  Bishan MRT Station,  Sengkang MRT Station
27,36, Ang Mo Kio MRT Station,  Woodlands MRT Station, Somerset MRT Station,  Dakota MRT Station
27,36,Somerset MRT Station,  Dakota MRT Station,  Bishan MRT Station,  Sengkang MRT Station
27,42,Somerset MRT Station,  Dakota MRT Station,  Ang Mo Kio MRT Station,  Sengkang MRT Station
