Score,Route Travel Time,Number of pax served,Route,,,,
1.25,33,40, Somerset MRT Station,  Toa Payoh MRT Station, Bishan MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station
1.25,39,45, Bukit Panjang MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station, Bishan MRT Station,  Serangoon MRT Station
1.25,39,45, Yew Tee MRT Station,  Bukit Panjang MRT Station,  Marymount MRT Station, Bishan MRT Station,  Ang Mo Kio MRT Station
1.25,39,45, Choa Chu Kang MRT Station, Bukit Panjang MRT Station,  Marymount MRT Station,  Ang Mo Kio MRT Station,  Toa Payoh MRT Station
1.25,39,45,Bukit Panjang MRT Station,  Beauty World MRT Station,  Marymount MRT Station,  Ang Mo Kio MRT Station,  Toa Payoh MRT Station
1.246666667,38,44, Choa Chu Kang MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station, Bishan MRT Station,  Marymount MRT Station
1.246666667,38,44, Choa Chu Kang MRT Station, Bukit Panjang MRT Station,  Marymount MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station
1.246666667,38,44,Bukit Panjang MRT Station,  Beauty World MRT Station,  Marymount MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station
1.246666667,38,44, Yew Tee MRT Station, Choa Chu Kang MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Marymount MRT Station
1.243333333,31,38,Woodlands MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Marymount MRT Station,
1.243333333,37,43,Clementi MRT Station,  Marymount MRT Station,  Bishan MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station
1.243333333,37,43,Clementi MRT Station,  Beauty World MRT Station,  Marymount MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station
1.24,30,37, Somerset MRT Station, Ang Mo Kio MRT Station,  Yio Chu Kang MRT Station,  Marymount MRT Station,
1.24,42,47, Bukit Panjang MRT Station,  Choa Chu Kang MRT Station, Woodlands MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station
1.236666667,41,46, Bukit Panjang MRT Station,  Woodlands MRT Station,  Ang Mo Kio MRT Station, Bishan MRT Station,  Marymount MRT Station
1.236666667,41,46, Bukit Panjang MRT Station,  Choa Chu Kang MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station, Bishan MRT Station
1.236666667,41,46,Bukit Panjang MRT Station,  Choa Chu Kang MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Toa Payoh MRT Station
1.233333333,40,45, Choa Chu Kang MRT Station, Woodlands MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Marymount MRT Station
1.233333333,40,45,Bukit Panjang MRT Station,  Choa Chu Kang MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station
1.233333333,40,45, Choa Chu Kang MRT Station, Bukit Panjang MRT Station,  Beauty World MRT Station,  Marymount MRT Station,  Ang Mo Kio MRT Station
1.233333333,40,45, Yew Tee MRT Station, Bukit Panjang MRT Station,  Marymount MRT Station,  Ang Mo Kio MRT Station,  Toa Payoh MRT Station
1.23,39,44, Yew Tee MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station, Bishan MRT Station,  Marymount MRT Station
1.23,39,44,Bukit Panjang MRT Station,  Toa Payoh MRT Station,  Marymount MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station
1.23,39,44, Yew Tee MRT Station, Bukit Panjang MRT Station,  Marymount MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station
